0,mse_value,ssim_value
444367707270434817.jpg,1759.58505185,0.631334954354
1041716481016186188_1412372288.jpg,692.654101563,0.513963150064
1072852365660212547_860436874.jpg,525.47722168,0.86111452834
1091026310551806905_1540555743.jpg,1132.13918945,0.889119033678
1076638903837010928_2165881161.jpg,1518.80063477,0.830897285182
444140054810615808.jpg,565.448317566,0.740683765662
1083035631985683244_1957471593.jpg,1347.37157227,0.827184821971
1161279131484269521_2542228177.jpg,1243.74388428,0.803722554164
1094204918375112626_2105413830.jpg,3116.99486084,0.80995204455
1104140052871455037_2150203015.jpg,2764.48224609,0.810682312136
1106881114192349817_2147430385.jpg,145.230026855,0.940564031768
1066681988611583760_1656800010.jpg,792.982157118,0.840769676364
1103504811309421704_1600935532.jpg,2907.55800049,0.648870171314
1328108789882443552_2513336314.jpg,2087.03437066,0.844771610619
1101025737583595805_2200978811.jpg,1989.74061523,0.911425293479
675095983126541754_460465828.jpg,597.1796875,0.974439691356
1091726886199377736_1426047574.jpg,1162.36625977,0.755520945061
1102960274940874474_1308058570.jpg,1688.91688721,0.718917096093
675326197343997393_744593346.jpg,1882.44155273,0.908774327594
1325848026119729465_2967603013.jpg,630.969294444,0.939345318158
444472134761324544.jpg,456.385453588,0.850152999339
1078957268724887132_1387567826.jpg,3090.70706299,0.758753294018
1102658762290296578_2159199668.jpg,597.435598145,0.923989770129
1152248894718813029_2295100839.jpg,256.620317383,0.70766271905
444296892168429570.jpg,3855.90900264,0.719834201256
672111886617811371_766687821.jpg,1342.96356689,0.510813814784
1114502134911076652_2127914737.jpg,2011.75487305,0.751447591446
1326595576787420839_33280515.jpg,703.185225694,0.917203729571
1121617939339052680_217790160.jpg,1012.13100098,0.778224290659
1212012624020006149_46565024.jpg,2577.67901476,0.8441467732
1066785299849186420_1906071954.jpg,3231.80662109,0.750401667652
1104316670338565151_1914966184.jpg,1681.26144531,0.899085724679
1098886334287657949_1395029045.jpg,1203.58348633,0.870869692563
444242203599048704.jpg,2518.83570958,0.844747055197
445861368025972736.jpg,437.54139154,0.942736609277
1072299907944919360_411123947.jpg,1353.59567871,0.426889915481
1079587580769116849_459597727.jpg,1495.26108073,0.562146206963
444277568091340800.jpg,1413.16102593,0.885656141985
1105197864024001173_1103592801.jpg,520.231491699,0.908811460513
444281264036536320.jpg,865.264448468,0.638190737019
1091021233736330023_2152934297.jpg,417.812385254,0.962176727643
1107680014049630123_651068732.jpg,1414.19821533,0.572822226772
1081509825308807668_1452042067.jpg,2423.14933359,0.898988706749
1093247931769065994_1825055419.jpg,1069.38071533,0.620740144965
676343638445431247_503652213.jpg,1540.03788818,0.958301291847
1101971541686139936_1098884782.jpg,1368.9253125,0.811728204724
1104997892369697449_2221444113.jpg,1755.37337158,0.90226723872
444041697417121792.jpg,2014.84798333,0.764704386322
444651228253802496.jpg,2624.64502593,0.812335549408
1105602612034612817_1205041098.jpg,1389.89050537,0.803531607019
1106120613343588639_510951339.jpg,1727.19118164,0.753857927052
1315915588090211312_2253173503.jpg,290.322668457,0.961967191686
445350290707841024.jpg,449.439202153,0.940623004083
442858917962346497.jpg,2255.0348,0.535506220187
1337035796805284438_1900347247.jpg,855.770361328,0.800766101709
1092505953913596853_1826680313.jpg,1285.07206163,0.90346169445
444127059917275136.jpg,455.719541667,0.960103677072
444714397265440769.jpg,2624.17200791,0.771063054623
1104449855985756727_1649379297.jpg,1320.8753418,0.588783892674
1089726931496817825_1599600724.jpg,1888.03834961,0.848216193037
1077255285515872749_516911401.jpg,486.885894097,0.920475206676
1090448389848203620_2155389895.jpg,1743.72700521,0.917087638007
1107978747527651100_363046110.jpg,2996.77834635,0.740665218105
444327396502536194.jpg,2071.96974792,0.844309593651
1118023143820165814_1394831087.jpg,1407.14135742,0.950703403721
1102610702904251132_1639972483.jpg,1698.89813965,0.813710332913
1099710959199423698_1198133042.jpg,1617.52902344,0.736814863016
1102766811676928575_969421529.jpg,849.957717285,0.869561212094
1091667805796685201_180018956.jpg,665.016240234,0.94944305503
1115055035831550493_1959484095.jpg,2147.79754883,0.806543269607
1083049286979934422_2091012933.jpg,2062.90385742,0.914338635678
1329635740774226746_1449539967.jpg,1743.09754639,0.758904445281
674282871521706708_1010772975.jpg,1273.94156006,0.776744914229
